직무,자소서_개수,실무_키워드_15,인재상_키워드_10,추천_대기업_Top3,통합_키워드_25
CHO부문_인사,2,"교육, 기업, 프로그램, 변화, 제작, 콘텐츠, 조직, 솔루션, 임직원, 중요, 운영, 기획, 전략, 영상, 제품","성장, 디지털, 인재, 혁신, 편의, 품질, 최고지향, 커뮤니티, 글로벌, 안정","삼성카드(금융·보험), 현대오토에버(IT·전자), 롯데카드(금융·보험)","교육, 기업, 프로그램, 변화, 제작, 콘텐츠, 조직, 솔루션, 임직원, 중요, 운영, 기획, 전략, 영상, 제품, 성장, 디지털, 인재, 혁신, 편의, 품질, 최고지향, 커뮤니티, 글로벌, 안정"
CREATOR-예능 제작PD,5,"이야기, 예능, 콘텐츠, 필요, 우리, 순간, 바다, 시간, 결국, 프로그램, 동시, 영상, 일기장, 하루, 영화","디지털, 협력, 존중, 성장, 혁신, 편의, 품질, 최고지향, 커뮤니티, 글로벌","현대오토에버(IT·전자), 롯데정보통신(IT·전자), 포스코DX(IT·전자)","이야기, 예능, 콘텐츠, 필요, 우리, 순간, 바다, 시간, 결국, 프로그램, 동시, 영상, 일기장, 하루, 영화, 디지털, 협력, 존중, 성장, 혁신, 편의, 품질, 최고지향, 커뮤니티, 글로벌"
CTO 소재기술,4,"소재, 연구, 조건, 실험, 결과, 전해질, 검증, 문제, 합성, 구조, 배터리, 구체, 에너지, 개선, 전극","공정, 안정, 신뢰, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정","국민연금공단(공공기관), 국민건강보험공단(공공기관), 한국산업은행(금융·보험)","소재, 연구, 조건, 실험, 결과, 전해질, 검증, 문제, 합성, 구조, 배터리, 구체, 에너지, 개선, 전극, 공정, 안정, 신뢰, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정"
CTO_반도체연구소_반도체공정기술,5,"세대, 문제, 프로젝트, 목표, 이해, 해결, 물질, 팀원, 반도체, 개발, 역할, 결과, 코팅, 협업, 최적","공정, 성장, 소통, 존중, 투명, 혁신, 편의, 품질, 최고지향, 커뮤니티","국민건강보험공단(공공기관), 국민연금공단(공공기관), 한국산업은행(금융·보험)","세대, 문제, 프로젝트, 목표, 이해, 해결, 물질, 팀원, 반도체, 개발, 역할, 결과, 코팅, 협업, 최적, 공정, 성장, 소통, 존중, 투명, 혁신, 편의, 품질, 최고지향, 커뮤니티"
CTO_소재기술,3,"소재, 문제, 실험, 연구, 해결, 분석, 개발, 결과, 조건, 제품, 배터리, 목표, 특성, 성능, 변수","공정, 안정, 효율, 신뢰, 성장, 소통, 편의, 품질, 최고지향, 커뮤니티","국민연금공단(공공기관), 국민건강보험공단(공공기관), 한국산업은행(금융·보험)","소재, 문제, 실험, 연구, 해결, 분석, 개발, 결과, 조건, 제품, 배터리, 목표, 특성, 성능, 변수, 공정, 안정, 효율, 신뢰, 성장, 소통, 편의, 품질, 최고지향, 커뮤니티"
CTO부문 R&D,3,"메모리, 연구, 플래시, 뉴로모픽, 성능, 구현, 시냅스, 구동, 회로, 시뮬레이션, 어레, 필요, 수행, 신경망, 동작","도전, 안정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정","삼성SDS(IT·전자), 에스원(유통·서비스), 삼성바이오로직스(제약·바이오)","메모리, 연구, 플래시, 뉴로모픽, 성능, 구현, 시냅스, 구동, 회로, 시뮬레이션, 어레, 필요, 수행, 신경망, 동작, 도전, 안정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정"
Cell개발,4,"배터리, 운영, 동아리, 목표, 구조, 문제, 활동, 이용, 에너지, 분자, 결과, 발생, 해결, 신입, 살균","안정, 공정, 성장, 소통, 협력, 신뢰, 효율, 편의, 품질, 최고지향","국민연금공단(공공기관), 삼성생명(금융·보험), LG헬로비전(통신·미디어)","배터리, 운영, 동아리, 목표, 구조, 문제, 활동, 이용, 에너지, 분자, 결과, 발생, 해결, 신입, 살균, 안정, 공정, 성장, 소통, 협력, 신뢰, 효율, 편의, 품질, 최고지향"
DA사업부 SW개발,4,"개발, 플랫폼, 콘텐츠, 문제, 프로그래밍, 서버, 사용자, 엔드, 학교, 데이터, 컴퓨터, 처음, 프로젝트, 공부, 제공","서비스, 안정, 창의, 소통, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털","호텔신라(유통·서비스), 롯데호텔앤드리조트(유통·서비스), 한화호텔앤드리조트(유통·서비스)","개발, 플랫폼, 콘텐츠, 문제, 프로그래밍, 서버, 사용자, 엔드, 학교, 데이터, 컴퓨터, 처음, 프로젝트, 공부, 제공, 서비스, 안정, 창의, 소통, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털"
DA사업부_SCM/물류,4,"데이터, 가구, 재고, 오류, 분석, 스크린, 제공, 결과, 시장, 활용, 공급망, 가능, 매장, 파악, 콘텐츠","소통, 효율, 서비스, 혁신, 도전, 협력, 안정, 전통, 성장, 편의","SK브로드밴드(통신·미디어), LG헬로비전(통신·미디어), SK텔레콤(통신·미디어)","데이터, 가구, 재고, 오류, 분석, 스크린, 제공, 결과, 시장, 활용, 공급망, 가능, 매장, 파악, 콘텐츠, 소통, 효율, 서비스, 혁신, 도전, 협력, 안정, 전통, 성장, 편의"
DA사업부_SW개발,4,"개발, 펀딩, 알림, 사용, 개인, 슈퍼, 개발자, 활용, 사용자, 선물, 문제, 유저, 페이지, 연동, 데이터","소통, 혁신, 서비스, 디지털, 효율, 편의, 품질, 최고지향, 커뮤니티, 글로벌","현대카드(금융·보험), 신한카드(금융·보험), 제일기획(유통·서비스)","개발, 펀딩, 알림, 사용, 개인, 슈퍼, 개발자, 활용, 사용자, 선물, 문제, 유저, 페이지, 연동, 데이터, 소통, 혁신, 서비스, 디지털, 효율, 편의, 품질, 최고지향, 커뮤니티, 글로벌"
DA사업부_기구개발,9,"환경, 정보, 구조, 문제, 조건, 제품, 연구, 시스템, 성능, 실험, 에너지, 분석, 사용자, 사용, 소재","공정, 안정, 성장, 도전, 신뢰, 효율, 열정, 소통, 책임, 존중","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","환경, 정보, 구조, 문제, 조건, 제품, 연구, 시스템, 성능, 실험, 에너지, 분석, 사용자, 사용, 소재, 공정, 안정, 성장, 도전, 신뢰, 효율, 열정, 소통, 책임, 존중"
DA사업부_아날로그 회로 설계,4,"가전, 아날로그, 회로, 환경, 센서, 인터페이스, 정밀, 전력, 미세, 실습, 연구, 변동, 서울대, 오차, 패턴","공정, 안정, 효율, 서비스, 신뢰, 편의, 품질, 최고지향, 커뮤니티, 디지털","국민연금공단(공공기관), 국민건강보험공단(공공기관), 한국산업은행(금융·보험)","가전, 아날로그, 회로, 환경, 센서, 인터페이스, 정밀, 전력, 미세, 실습, 연구, 변동, 서울대, 오차, 패턴, 공정, 안정, 효율, 서비스, 신뢰, 편의, 품질, 최고지향, 커뮤니티, 디지털"
DS 부문 System LSI사업부_SW개발,6,"시스템, 반도체, 로봇, 시장, 활용, 이해, 개발, 주막, 무명, 목표, 수신, 사용, 개발자, 분석, 문제","서비스, 효율, 성장, 열정, 도전, 협력, 혁신, 편의, 품질, 최고지향","한화호텔앤드리조트(유통·서비스), 대한항공(항공·물류), 인천국제공항공사(공공기관)","시스템, 반도체, 로봇, 시장, 활용, 이해, 개발, 주막, 무명, 목표, 수신, 사용, 개발자, 분석, 문제, 서비스, 효율, 성장, 열정, 도전, 협력, 혁신, 편의, 품질, 최고지향"
DS 부문 메모리사업부 영업마케팅,4,"동아리, 채널, 계정, 활용, 반도체, 데이터, 전략, 분석, 인스타그램, 지원자, 승인, 공연, 달성, 증가, 활동","커뮤니티, 안정, 도전, 효율, 열정, 서비스, 소통, 혁신, 디지털, 과학","현대카드(금융·보험), 지니뮤직(통신·미디어), 쿠팡(유통·서비스)","동아리, 채널, 계정, 활용, 반도체, 데이터, 전략, 분석, 인스타그램, 지원자, 승인, 공연, 달성, 증가, 활동, 커뮤니티, 안정, 도전, 효율, 열정, 서비스, 소통, 혁신, 디지털, 과학"
DS 제조&기술담당_반도체공정기술,3,"불량, 분석, 데이터, 모델링, 시간, 온도, 반응, 반도체, 자발, 화학, 이슈, 실패, 발견, 제시, 달성","공정, 효율, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","불량, 분석, 데이터, 모델링, 시간, 온도, 반응, 반도체, 자발, 화학, 이슈, 실패, 발견, 제시, 달성, 공정, 효율, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정"
DS 평가 및 분석,4,"소비, 반도체, 불량, 교환, 학생, 세대, 가능, 패키지, 중요, 기업, 제품, 패키징, 최적, 시스템, 목표","공정, 도전, 성장, 열정, 소통, 혁신, 효율, 편의, 고객, 품질","지니뮤직(통신·미디어), 쿠팡(유통·서비스), CJ ENM(통신·미디어)","소비, 반도체, 불량, 교환, 학생, 세대, 가능, 패키지, 중요, 기업, 제품, 패키징, 최적, 시스템, 목표, 공정, 도전, 성장, 열정, 소통, 혁신, 효율, 편의, 고객, 품질"
DS부문 CTO-반도체연구소_반도체공정기술,4,"반도체, 행사, 연구, 대회, 가능, 결과, 식각, 중요, 이용, 이내, 선도, 석사, 개발, 세계, 성공","공정, 도전, 소통, 성장, 협력, 편의, 품질, 최고지향, 커뮤니티, 디지털","국민건강보험공단(공공기관), 국민연금공단(공공기관), 한국산업은행(금융·보험)","반도체, 행사, 연구, 대회, 가능, 결과, 식각, 중요, 이용, 이내, 선도, 석사, 개발, 세계, 성공, 공정, 도전, 소통, 성장, 협력, 편의, 품질, 최고지향, 커뮤니티, 디지털"
DS부문 CTO_반도체연구소 공정기술,4,"반도체, 보안, 데이터, 연구, 유출, 문제, 주입, 시간, 분석, 표면, 활용, 모사, 삼성, 개발, 프로젝트","공정, 협력, 도전, 효율, 소통, 책임, 혁신, 편의, 품질, 최고지향","국민건강보험공단(공공기관), 한국산업은행(금융·보험), 국민연금공단(공공기관)","반도체, 보안, 데이터, 연구, 유출, 문제, 주입, 시간, 분석, 표면, 활용, 모사, 삼성, 개발, 프로젝트, 공정, 협력, 도전, 효율, 소통, 책임, 혁신, 편의, 품질, 최고지향"
DS부문 S.LSI사업부 회로설계,5,"아날로그, 발전, 연산, 최고, 성능, 필요, 반도체, 사업부, 지식, 레이아웃, 장점, 중요, 뉴런, 시스템, 학부","성장, 도전, 효율, 디지털, 열정, 인재, 소통, 편의, 품질, 최고지향","현대글로비스(항공·물류), 이마트(유통·서비스), CJ ENM(통신·미디어)","아날로그, 발전, 연산, 최고, 성능, 필요, 반도체, 사업부, 지식, 레이아웃, 장점, 중요, 뉴런, 시스템, 학부, 성장, 도전, 효율, 디지털, 열정, 인재, 소통, 편의, 품질, 최고지향"
DS부문 System LSI사업부_신호및시스템설계,3,"데이터, 기업, 로봇, 학생, 발표, 공장, 활용, 다짐, 인턴, 시뮬레이션, 환경, 개발, 솔루션, 자율, 사업","혁신, 안정, 열정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌","삼성생명(금융·보험), SK바이오팜(제약·바이오), 한화갤러리아(유통·서비스)","데이터, 기업, 로봇, 학생, 발표, 공장, 활용, 다짐, 인턴, 시뮬레이션, 환경, 개발, 솔루션, 자율, 사업, 혁신, 안정, 열정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌"
DS부문 Test&System Package총괄_패키지개발,4,"개발, 목표, 반도체, 패키지, 공부, 고시, 효과, 인생, 분석, 문제, 기능, 패키징, 지속, 방법, 필요","공정, 성장, 혁신, 신뢰, 고객, 안정, 책임, 편의, 품질, 최고지향","한국산업은행(금융·보험), 삼성생명(금융·보험), KB생명보험(금융·보험)","개발, 목표, 반도체, 패키지, 공부, 고시, 효과, 인생, 분석, 문제, 기능, 패키징, 지속, 방법, 필요, 공정, 성장, 혁신, 신뢰, 고객, 안정, 책임, 편의, 품질, 최고지향"
DS부문 메모리사업부-반도체 공정기술,4,"집단, 공부, 데이터, 분석, 코딩, 온도, 기업, 팀워크, 지성, 공학, 감사, 시간, 최대, 활동, 활용","효율, 공정, 인재, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정","현대글로비스(항공·물류), 이마트(유통·서비스), 국민건강보험공단(공공기관)","집단, 공부, 데이터, 분석, 코딩, 온도, 기업, 팀워크, 지성, 공학, 감사, 시간, 최대, 활동, 활용, 효율, 공정, 인재, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정"
DS부문 메모리사업부_반도체공정기술,9,"실험, 시간, 박막, 증착, 탄소, 서핑, 변수, 최적, 반도체, 전력, 해결, 속도, 제휴, 최적화, 구조","공정, 효율, 성장, 과학, 안정, 도전, 소통, 편의, 품질, 최고지향","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","실험, 시간, 박막, 증착, 탄소, 서핑, 변수, 최적, 반도체, 전력, 해결, 속도, 제휴, 최적화, 구조, 공정, 효율, 성장, 과학, 안정, 도전, 소통, 편의, 품질, 최고지향"
DS부문 반도체 공정기술,4,"반도체, 개선, 활용, 분석, 연탄, 성취감, 봉사, 프로젝트, 단위, 측정, 불량, 원인, 조절, 수율, 제조","공정, 열정, 인재, 성장, 신뢰, 안정, 도전, 존중, 효율, 편의","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","반도체, 개선, 활용, 분석, 연탄, 성취감, 봉사, 프로젝트, 단위, 측정, 불량, 원인, 조절, 수율, 제조, 공정, 열정, 인재, 성장, 신뢰, 안정, 도전, 존중, 효율, 편의"
DS부문 반도체연구소 공정설계,4,"배터리, 반도체, 제품, 전공, 결과, 지식, 세계, 자동차, 아이디어, 완벽, 검증, 이해, 지금, 성적, 시간","공정, 책임, 안정, 성장, 소통, 고객, 효율, 편의, 품질, 최고지향","국민연금공단(공공기관), 국민건강보험공단(공공기관), 한국산업은행(금융·보험)","배터리, 반도체, 제품, 전공, 결과, 지식, 세계, 자동차, 아이디어, 완벽, 검증, 이해, 지금, 성적, 시간, 공정, 책임, 안정, 성장, 소통, 고객, 효율, 편의, 품질, 최고지향"
DS부문 제조&기술담당_반도체공정기술,8,"데이터, 분석, 시간, 불량, 문제, 결과, 조건, 반도체, 달성, 반응, 교육, 구동, 필요, 모델링, 발생","공정, 디지털, 효율, 안정, 성장, 인재, 신뢰, 편의, 품질, 최고지향","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","데이터, 분석, 시간, 불량, 문제, 결과, 조건, 반도체, 달성, 반응, 교육, 구동, 필요, 모델링, 발생, 공정, 디지털, 효율, 안정, 성장, 인재, 신뢰, 편의, 품질, 최고지향"
DS부문 혁신센터_신호 및 시스템 설계,4,"데이터, 전력, 구현, 시스템, 반도체, 센터, 학문, 개발, 컴퓨터, 융합, 사용, 활용, 경영, 공부, 전공","공정, 혁신, 효율, 열정, 성장, 소통, 책임, 편의, 품질, 최고지향","국민건강보험공단(공공기관), 한국산업은행(금융·보험), 국민연금공단(공공기관)","데이터, 전력, 구현, 시스템, 반도체, 센터, 학문, 개발, 컴퓨터, 융합, 사용, 활용, 경영, 공부, 전공, 공정, 혁신, 효율, 열정, 성장, 소통, 책임, 편의, 품질, 최고지향"
DS부문[TSP총괄]패키지개발,1,"분자, 반도체, 연구, 패키지, 개발, 구조, 수강, 이해, 패키징, 분석, 활용, 예측, 조정, 해결, 문제","공정, 안정, 인재, 성장, 효율, 편의, 품질, 최고지향, 커뮤니티, 디지털","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","분자, 반도체, 연구, 패키지, 개발, 구조, 수강, 이해, 패키징, 분석, 활용, 예측, 조정, 해결, 문제, 공정, 안정, 인재, 성장, 효율, 편의, 품질, 최고지향, 커뮤니티, 디지털"
DS부문_CSS사업팀_반도체공정설계,4,"반도체, 정비, 기업, 적극, 책임감, 프로젝트, 목표, 생활, 부산, 인구, 지방, 수도, 지역, 동작, 삼성","공정, 협력, 성장, 효율, 상생, 도전, 소통, 편의, 품질, 최고지향","국민연금공단(공공기관), 한국산업은행(금융·보험), SK브로드밴드(통신·미디어)","반도체, 정비, 기업, 적극, 책임감, 프로젝트, 목표, 생활, 부산, 인구, 지방, 수도, 지역, 동작, 삼성, 공정, 협력, 성장, 효율, 상생, 도전, 소통, 편의, 품질, 최고지향"
DS부문_S/W 개발,4,"데이터, 시스템, 실시간, 제조, 최적화, 반도체, 분석, 문제, 이상, 미세, 제어, 라인, 발생, 고도, 연산","공정, 혁신, 효율, 안정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털","한국산업은행(금융·보험), 국민건강보험공단(공공기관), 국민연금공단(공공기관)","데이터, 시스템, 실시간, 제조, 최적화, 반도체, 분석, 문제, 이상, 미세, 제어, 라인, 발생, 고도, 연산, 공정, 혁신, 효율, 안정, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털"
DS부문_S/W개발,4,"데이터, 메모리, 시스템, 최적화, 하드웨어, 알고리즘, 처리, 솔루션, 로직, 구조, 이상, 고도, 시장, 모델, 펌웨어","효율, 신뢰, 안정, 공정, 도전, 협력, 소통, 혁신, 고객, 편의","현대글로비스(항공·물류), 이마트(유통·서비스), LG헬로비전(통신·미디어)","데이터, 메모리, 시스템, 최적화, 하드웨어, 알고리즘, 처리, 솔루션, 로직, 구조, 이상, 고도, 시장, 모델, 펌웨어, 효율, 신뢰, 안정, 공정, 도전, 협력, 소통, 혁신, 고객, 편의"
DS부문_SW개발,4,"개발, 데이터, 순간, 프로젝트, 도움, 코드, 학습, 코딩, 엔드, 처리, 환경, 일상, 자신, 고민, 과목","서비스, 혁신, 효율, 열정, 성장, 소통, 고객, 편의, 품질, 최고지향","한화호텔앤드리조트(유통·서비스), 호텔신라(유통·서비스), 현대글로비스(항공·물류)","개발, 데이터, 순간, 프로젝트, 도움, 코드, 학습, 코딩, 엔드, 처리, 환경, 일상, 자신, 고민, 과목, 서비스, 혁신, 효율, 열정, 성장, 소통, 고객, 편의, 품질, 최고지향"
DS부문_TSP총괄 반도체공정기술,4,"좌석, 팀원, 데이터, 목표, 패키징, 공간, 이용, 양산, 공유, 시간, 프로젝트, 카페, 수율, 확보, 중요","공정, 고객, 신뢰, 도전, 소통, 효율, 커뮤니티, 안정, 상생, 투명","국민연금공단(공공기관), 국민건강보험공단(공공기관), 한국산업은행(금융·보험)","좌석, 팀원, 데이터, 목표, 패키징, 공간, 이용, 양산, 공유, 시간, 프로젝트, 카페, 수율, 확보, 중요, 공정, 고객, 신뢰, 도전, 소통, 효율, 커뮤니티, 안정, 상생, 투명"
