산업분야,직무,직위,질문순위,핵심단어,질문빈도,답변키워드_TOP20
,MD,인턴,1,장단점,1,"고객, 상품, 교육, 참여, 책임감, 운영, 개선, 계획, 변수, 가치, 코로나, 하나투어, 기획, 프로그램, 경험, 문제, 현장, 의욕, 발생, 진행"
,MD,인턴,2,경험,1,"프로모션, 파트, 타이머, 고객, 행동, 오전, 사은품, 계산, 크기, 편의점, 중간, 역할, 유아, 노년, 정보, 전달, 행사, 프린트, 부착, 오후"
,PD·감독,신입,1,지원동기,2,"드라마, 콘텐츠, 채널, 문화, 다양, 경험, 분야, 결과, 도전, 관심, 촬영, 친구, 결핍, 프로듀서, 리뷰, 음악, 시도, 트렌드, 선도, 기업"
,PL·PM·PO,신입,1,직무역량,1,"일정, 직무, 성장, 납품, 예산, 부품, 동반, 프로젝트, 대여, 현대로템, 생산, 수행, 진행, 회의, 키트, 발생, 업무, 이슈, 회사, 기준"
,QA,신입,1,성장과정,1,"도전, 자전거, 생각, 종주, 완주, 포기, 국토, 장정, 경험, 대학, 땅끝마을, 고창, 장성, 위기, 방법, 높이, 오르막, 도로, 때문, 누적"
,QA,인턴,1,경험,1,"고객, 활동, 게임, 신뢰, 숫자, 관찰, 판매, 실시간, 문제, 해결, 참여, 아르바이트, 기간, 구두, 업무, 사회, 서비스, 직무, 생각, 특성"
,R&D·연구원,신입,1,직무역량,2,"활용, 분석, 시뮬레이션, 차량, 에너지, 직무, 생각, 원인, 경험, 내구, 평가, 데이터, 흐름, 이용, 지식, 동화, 자동차, 안전, 규명, 크랙"
,R&D·연구원,신입,2,경험,2,"직무, 분석, 소통, 제품, 이해, 업무, 전공, 재료, 역량, 연구, 특성, 해석, 구조, 섬유, 중요, 조직, 커뮤니케이션, 개발, 고객, 필요"
,간호사,신입,1,직무역량,1,"간호, 활동, 응급, 정확, 생리학, 인체, 삼성, 인재, 근거, 기반, 동아리, 해부학, 체험, 기본, 구조, 과학, 지식, 자격증, 취득, 과정"
,간호사,신입,2,성장과정,1,"가치, 고등학교, 후원, 자신, 행복, 공존, 내면, 초등학교, 단원, 활동, 소외, 이웃, 사랑, 실천, 교내, 동아리, 임원, 해외, 아동, 기획"
,건축기사,신입,1,지원동기,1,"사람, 최근, 상황, 주거, 업무, 회사명, 강점, 건축, 지식, 현실, 인지, 미래, 발전, 우리나라, 수년, 동안, 집값, 인상, 금리, 폭등"
,건축기사,신입,2,경험,1,"디자인, 예술, 제품, 로비, 매장, 인테리어, 생각, 도중, 프로젝트, 고객, 정의, 공간, 필요, 대학교, 바탕, 시각, 우선, 효율, 도면, 관리"
,건축기사,신입,3,자기소개,1,"디자인, 도시, 환경, 서울, 생태, 시민, 가치, 지식, 공공, 기사, 기초, 측면, 도전, 노력, 성취, 포부, 직면, 문제, 해결, 사람"
,게임개발자,신입,1,자기소개,1,"개발, 계획, 성격, 공부, 결과, 영어, 경험, 알고리즘, 구현, 역량, 진행, 운동, 성과, 문제, 노력, 참여, 회사, 분야, 핵심, 단위"
,게임개발자,인턴,1,경험,1,"스포츠, 데이터, 게임, 뉴스레터, 매출, 관련, 스폰서, 다운로드, 경험, 취재, 도전, 일본, 해당, 고객, 인턴, 근무, 기존, 자사, 비교, 사업"
,경영·비즈니스기획,신입,1,경험,14,"직무, 고객, 기업, 경험, 생각, 업무, 지원, 진행, 수납, 판매, 분석, 기획, 결과, 회사, 문제, 목표, 효율, 사람, 만족, 성장"
,경영·비즈니스기획,신입,2,지원동기,11,"회사명, 역량, 생각, 직무, 회사, 방송, 고객, 영향력, 성장, 지속, 기업, 사업, 탄소, 중립, 지원, 소통, 중요, 가능, 암모니아, 글로벌"
,경영·비즈니스기획,신입,3,성장과정,7,"사람, 동아리, 생각, 활동, 임원, 문제, 처리, 노력, 시간, 기획, 여행, 갈등, 처음, 업무, 인정, 결과, 내성, 성격, 신중, 지원"
,경영·비즈니스기획,신입,4,직무역량,4,"생각, 사람, 기획, 서비스, 관련, 고객, 사업, 발생, 직무, 회사, 과정, 재단, 지원, 분야, 때문, 시장, 경험, 비용, 물류, 관심"
,경영·비즈니스기획,신입,5,자기소개,3,"연구, 개발, 경쟁력, 병원, 중요, 고객, 기획, 미래, 대한민국, 글로벌, 영어, 경험, 파악, 확보, 기업, 기술, 활동, 의료, 즐거움, 제공"
,경영·비즈니스기획,신입,6,입사포부,1,"경쟁력, 확보, 산업, 연구, 개발, 미래, 대한민국, 지속, 기술, 중요, 글로벌, 인프라, 구축, 증대, 관리, 헬스케어, 발전, 기여, 기업, 차별"
,경영·비즈니스기획,신입,7,장단점,1,"리더십, 팀원, 주도, 분위기, 프로젝트, 역할, 적용, 스타일, 학년, 표현, 생각, 스피치, 수업, 본인, 도전, 팀장, 리더, 의미, 상황, 이유"
,경영·비즈니스기획,인턴,1,경험,4,"사업, 지식, 회계, 업무, 경험, 팀원, 생각, 시간, 기획, 결과, 고객, 관리, 재무, 인턴, 지원, 사람, 필요, 목표, 보고서, 작성"
,경영·비즈니스기획,인턴,2,직무역량,3,"캐릭터, 상품, 사업, 콘텐츠, 업무, 도전, 성장, 가치, 경쟁력, 확대, 다양, 활용, 페어, 해외, 국내, 라이센싱, 인턴, 진행, 애니메이션, 확인"
,경영·비즈니스기획,인턴,3,성장과정,2,"투자, 기업, 독서, 시간, 분야, 분석, 목표, 경제, 시절, 사람, 노력, 성격, 학교, 조사, 이용, 진행, 교육, 의견, 경험, 바탕"
,경영·비즈니스기획,인턴,4,입사포부,1,"행복, 도전, 대학, 진학, 체대, 선입견, 가슴, 목표, 바탕, 적극, 사람, 캄보디아, 해외, 봉사, 시작, 책임감, 임무, 각종, 대외, 활동"
,경영·비즈니스기획,인턴,5,지원동기,1,"부서, 소통, 협력, 중요, 사업, 관리, 업무, 생각, 커뮤니케이션, 커뮤니케이터, 현대, 다이모스, 연구, 기획, 인턴십, 필요, 상황, 부족, 자기, 입장"
,경영지원,신입,1,가치관,1,"전문, 회사, 생각, 사회, 역할, 기준, 근무, 한국, 금융, 직업, 활용, 직무, 중요, 의미, 기관, 지금, 증권, 발휘, 직장, 시장"
,경영지원,신입,2,경험,1,"회사, 세무사, 감사, 더존, 세무, 법인, 외부, 회계, 정도, 때문, 기록, 방법, 자격시험, 합격, 이후, 근로, 근무, 경험, 역할, 전임"
,경영지원,인턴,1,장단점,1,"회계, 가스, 안전, 공사, 생각, 세무, 분야, 전문, 경험, 경영학, 다양, 세법, 사업, 업무, 지원, 관련, 지식, 대학, 전공, 습득"
,고객센터관리자,신입,1,성장과정,1,"테니스, 동아리, 노력, 가입, 학기, 회원, 실력, 대회, 우승, 목표, 레슨, 동안, 꼴찌, 준우승, 운동, 신경, 호기심, 하나, 친구, 우려"
,교재개발·교수설계,신입,1,자기소개,1,"긍정, 성장, 노력, 발전, 마음, 안녕, 마인드, 인재, 시작, 무엇, 생각, 회사명, 입사, 감사"
,교직원·조교,신입,1,경험,1,"경청, 상대, 의견, 어머니, 결과, 사람, 이야기, 저희, 생활, 절충, 당시, 교수, 학생, 소통, 문제, 가족, 이웃, 의지, 영향, 실천"
,구매관리자,신입,1,성장과정,5,"노력, 성장, 전문가, 결과, 구매, 전공, 경험, 사람, 관계, 도전, 아르바이트, 공동체, 사회, 목표, 일본, 유학, 때문, 인정, 성당, 활동"
,구매관리자,신입,2,경험,2,"진행, 물류, 방식, 시스템, 쪽지, 업무, 도입, 전달, 경험, 변화, 이상, 담당, 위원회, 참가자, 시작, 효율, 방법, 가치, 사람, 전공"
,구매관리자,신입,3,직무역량,2,"구매, 직무, 롯데제과, 중국, 신뢰, 강점, 우대, 소통, 중시, 중국인, 비즈니스, 기본, 역량, 기업, 상생, 대한민국, 건설, 생각, 첫째, 연결"
,구매관리자,신입,4,지원동기,1,"생산, 구매, 관리, 계획, 준비, 지속, 기술, 경쟁력, 다음, 가지, 첫째, 마트, 인턴, 사원, 근무, 실무, 경험, 실행, 조업, 자재"
,구매관리자,신입,5,장단점,1,"판매, 구매, 부품, 최적, 가지, 제품, 경험, 고려, 선정, 동안, 여행, 목표, 음식, 업체, 백문, 불여일견, 학교, 졸업, 현장, 근무"
,구매관리자,인턴,1,성장과정,1,"주도, 학창, 시절, 진행, 만족감, 입사, 실행, 현대제철, 보탬, 인재, 노력"
,그래픽디자이너,신입,1,자기소개,1,"그래픽, 모션, 디자인, 직무, 다양, 영상, 분야, 열정, 유튜브, 인스타그램, 미디어, 매체, 콘텐츠, 흥미, 학부, 시절, 역량, 일러스트레이션, 스튜디오, 그래픽스"
,금융영업,신입,1,성장과정,9,"사람, 노력, 시절, 성실, 학생, 경험, 기본, 긍정, 생각, 친구, 학창, 대학, 마음, 고민, 누구, 결과, 모습, 책임감, 습관, 방향"
,금융영업,신입,2,지원동기,6,"고객, 회사, 상품, 사람, 노력, 업무, 보험, 삼성화재, 사원, 금융, 서비스, 증권, 생각, 친구, 전문, 제공, 시장, 마음, 은행, 필요"
,금융영업,신입,3,직무역량,4,"고객, 금융, 생각, 상품, 다양, 부동산, 시장, 학교, 경험, 노력, 사회, 부모, 신뢰, 자산, 관심, 준비, 전문가, 중요, 직무, 매출"
,금융영업,신입,4,경험,3,"아르바이트, 업무, 고객, 다양, 경험, 수업, 활동, 은행, 응대, 아이, 학습, 사람, 예금, 주변, 목표, 노력, 생각, 상황, 수행, 유치"
,금융영업,신입,5,장단점,1,"노력, 퇴직, 습득, 업무, 타인, 신뢰, 연금, 관련, 사례, 수행, 세무, 지식, 성격, 자세, 운용, 기본, 근로자, 급여, 보장, 법령"
,금융영업,인턴,1,경험,1,"역할, 분담, 동아리, 연습, 목표, 경험, 교내, 대회, 팀워크, 효율, 공동, 달성, 댄스, 오랫동안, 아침, 저녁, 과정, 파트, 팀원, 부족"
,금융영업,인턴,2,직무역량,1,"경제, 지역, 희망, 분야, 발전, 기업, 난쏘공, 자치, 행정, 관심, 심도, 학습, 경제학, 원론, 기초, 회사명, 금요, 강좌, 지식, 학년"
,금융영업,인턴,3,지원동기,1,"보험, 세상, 경험, 능력, 손해, 고객, 인턴, 케이, 인재, 업무, 노력, 자동차, 소통, 가족, 교통, 사고, 의지, 회사명, 급여, 보험업"
,기계엔지니어,신입,1,성장과정,9,"사람, 도전, 성격, 생각, 노력, 경험, 자동차, 개선, 자신감, 카트, 지원, 진학, 공학, 담당자, 생활, 확인, 배려, 회장, 산타, 대학"
,기계엔지니어,신입,2,경험,5,"설계, 날개, 모델링, 공부, 동아리, 터빈, 문제, 때문, 도면, 운동, 관리, 출력, 계수, 시간, 제품, 구성원, 효과, 시작, 윈드, 경험"
,기계엔지니어,신입,3,지원동기,2,"사업, 문제, 작품, 능력, 판단, 미래, 자동차, 해결, 기술, 기반, 지식, 역량, 전장, 전자, 환경, 기존, 설계, 방식, 사용, 시간"
,기계엔지니어,신입,4,직무역량,2,"자동차, 분야, 후원자, 공간, 시스템, 어린이, 활동, 팀원, 직무, 모집, 사람, 진화, 연구, 전공, 활용, 아프리카, 팀장, 극복, 커피, 소통"
,기계엔지니어,신입,5,가치관,1,"프로젝트, 시뮬레이션, 센서, 언어, 도전, 경험, 업무, 환경, 차량, 부분, 배경, 지식, 학습, 진행, 사용, 작성, 통신, 문제, 해결, 역량"
,기계엔지니어,신입,6,자기소개,1,"친구, 전단지, 의미, 공부, 모습, 생각, 배부, 중요, 내용, 성격, 프로그램, 직무, 실망, 적극, 문제점, 미련, 주요, 정리, 노트, 반면"
,기계엔지니어,인턴,1,성장과정,1,"도전, 극복, 사람, 단점, 현대카드, 영업, 경험, 설득, 성격, 사원, 지속, 세상, 시야, 변화, 전역, 환경, 사이, 시간, 출근, 하루"
,기계엔지니어,인턴,2,경험,1,"시간, 과정, 생각, 생활, 목표, 디딤돌, 기계, 로봇, 공학, 도구, 사용, 의존, 케네디, 명언, 성장, 가치관, 강약, 표현, 문장, 시절"
,기계엔지니어,인턴,3,지원동기,1,"기업, 두산, 엑스커베이터, 과목, 주변, 부분, 마크, 정통, 분야, 최고, 입사, 지원, 연구원, 차별, 성능, 효율, 기기, 생각, 학년, 학기"
,기술·전문강사,신입,1,경험,3,"개발, 문제, 시스템, 관련, 소프트웨어, 경험, 업무, 보안, 환경, 역량, 공학, 프로젝트, 전자, 학생, 생산, 발전, 알고리즘, 이용, 지속, 의심"
,기술·전문강사,신입,2,지원동기,2,"기업, 가족, 생각, 롯데정보통신, 도전, 업무, 직원, 스마트, 마케팅, 관련, 회사, 지원, 개발, 중요, 친화, 고려, 부분, 이용, 졸업, 프로젝트"
,기술·전문강사,신입,3,자기소개,1,"설계, 관리, 회사, 산업, 공학, 생각, 아이디어, 정보, 개발, 보안, 신중, 열정, 대학교, 대학원, 기술, 연구, 역량, 습득, 지식, 컴퓨터"
,기술·전문강사,신입,4,입사포부,1,"모습, 세계, 글로벌, 생각, 다양, 최고, 제공, 마인드, 사람, 영어, 전공, 비즈니스, 문화, 행복, 기업, 솔루션, 실현, 업무, 가족, 서로"
,기술·전문강사,신입,5,직무역량,1,"이용, 공부, 사고, 노력, 조직, 단순, 코더, 원리, 통찰력, 엔지니어, 자랑, 예비, 구성원, 장준희, 사업, 발굴, 고객, 만족, 가치, 창출"
,기술·전문강사,신입,6,성장과정,1,"메뉴, 입맛, 김치, 레스토랑, 매출, 가격, 음식, 서비스, 결과, 외국인, 도전, 캐나다, 유학, 시절, 코리안, 선정, 성장, 상황, 최선, 책임감"
,기자,신입,1,직무역량,1,"사람, 채널, 확보, 필요, 중요, 텐트, 차별, 전략, 사유, 직무, 기사, 사실, 활용, 제작, 인쇄, 단계, 작성, 역량, 이야기, 능력"
,납품·배송기사,신입,1,성장과정,1,"생각, 도전, 등산, 교육, 성장, 사람, 열정, 불편, 기회, 자전거, 고향, 근처, 정도, 지방, 방송, 여행기, 출연, 여행, 친구, 우정"
,네트워크엔지니어,신입,1,경험,7,"프로젝트, 생각, 작성, 팀원, 결과, 주제, 취약점, 분석, 보안, 기사, 정보, 진행, 기술, 의견, 은행, 논문, 관리, 경험, 대회, 지원"
,네트워크엔지니어,신입,2,직무역량,2,"네트워크, 통신, 안정, 전문가, 생활, 지식, 이용, 개발, 부분, 동안, 작성, 분야, 확인, 인턴, 담당, 소스, 분석, 업무, 프로세스, 과목"
,네트워크엔지니어,신입,3,지원동기,2,"회사명, 사람, 모두, 발전, 분야, 서비스, 금융, 목표, 항공사, 제공, 지원, 가지, 자신, 감독, 경제, 정보, 기술, 항공업, 선도, 글로벌"
,네트워크엔지니어,신입,4,성장과정,1,"경쟁, 시작, 시절, 친구, 한자, 세계, 논술, 사람, 성장, 특별, 아이, 주변, 의식, 누구, 무엇, 만큼, 욕심, 터울, 사촌, 동생"
,네트워크엔지니어,신입,5,자기소개,1,"긍정, 마음, 가능, 사람, 생각, 영향, 존중, 도전, 중요, 업무, 노력, 부모, 어디, 다양, 수용, 에너지, 주변, 상황, 사회, 인간관계"
,네트워크엔지니어,인턴,1,직무역량,1,"통신, 파트, 지원, 정보, 경험, 배전, 선로, 자동, 관리, 업무, 보안, 환경, 실무, 개월, 인턴, 근무, 전력, 가지, 개폐기, 원격"
,네트워크엔지니어,인턴,2,경험,1,"기사, 공부, 정보, 합격, 시험, 목표, 보안, 처리, 리눅스, 시작, 네트워크, 만족, 결과, 마스터, 자격증, 준비, 부분, 때문, 시간, 최종"
,노무관리자,신입,1,성장과정,1,"선택, 노력, 추진력, 업무, 결정, 부모, 목표, 지금, 지속, 변화, 가치관, 학교, 입학, 미래, 중요, 기로, 자기, 존중, 태도, 최적"
,매장관리자,신입,1,직무역량,1,"유니클로, 생각, 지원, 실용, 스타일, 사람, 책임감, 책임, 이유, 평소, 라이프, 정신, 전파, 윤택, 남매, 어머니, 학부, 시절, 동아리, 운영"
,매장관리자,신입,2,입사포부,1,"가족, 행복, 자신, 목표, 성취, 원활, 직장, 생활"
,매장관리자,신입,3,성장과정,1,"책임감, 물품, 입점, 필요, 구매, 행동, 상점, 위기, 극복, 매사, 사람, 인턴, 시절, 부산, 외식, 업체, 신규, 매장, 출장, 당시"
,매장관리자,신입,4,장단점,1,"내일, 사람, 버거킹, 생각, 매장, 본사, 과거, 주변, 때문, 사원, 자신, 영업, 관리, 고객, 직원, 필요, 변화, 당장, 눈앞, 마음"
,무역사무원,신입,1,성장과정,1,"동아리, 조직, 다양, 회원, 활동, 모임, 임원, 대학, 사람, 시간, 소속, 레져, 운영, 의견, 교내, 산업기능요원, 열정, 연합, 학교, 전공"
,무역사무원,신입,2,지원동기,1,"도전, 아르바이트, 제우스, 일본, 제조, 장비, 사업, 정신, 공유, 적극, 인수, 합병, 반도체, 태양, 전지, 영역, 확대, 지속, 성장, 가능"
,물류관리자,신입,1,직무역량,1,"대응, 능동, 입고, 현장, 판단력, 태도, 변화, 역량, 물동량, 도우미, 근무, 증가, 상황, 작업, 공간, 고객, 수요, 필요, 생각, 관련"
,바이오·제약연구원,신입,1,성장과정,1,"공부, 성적, 미생물, 연구, 현재, 최선, 고등학교, 집중, 아쉬움, 대학교, 분야, 전문, 대학원, 학년, 생각, 만회, 무리, 동안, 모습, 후회"
,바이오·제약연구원,신입,2,입사포부,1,"효능, 바이오, 개발, 분석, 치료제, 세포, 생각, 코오롱, 생명, 과학, 유전자, 사회, 관심, 의약품, 지식, 경험, 치료, 가능, 질병, 최근"
,반도체엔지니어,신입,1,경험,8,"설계, 구현, 프로젝트, 경험, 장비, 제작, 시간, 연구실, 저항, 이용, 바퀴, 연구, 측정, 방법, 실험, 관리, 공정, 현상, 회로, 역할"
,반도체엔지니어,신입,2,지원동기,1,"반도체, 회사명, 성장, 장비, 공정, 직무, 테스트, 개발, 고객사, 산업, 미세, 회사, 제어, 요구, 제품, 전문, 소통, 능력, 엔지니어, 시대"
,반도체엔지니어,신입,3,성장과정,1,"도전, 대회, 훈련, 열정, 경험, 향상, 노력, 자신, 발전, 유년, 시절, 현재, 연속, 중학교, 학년, 전국, 유소년, 체육, 공기, 권총"
,반도체엔지니어,신입,4,직무역량,1,"개발, 설계, 이용, 다양, 시스템, 시뮬레이션, 언어, 프로그램, 파일, 직무, 경험, 구현, 기능, 사용, 수정, 하나, 작성, 조건, 카드, 지원"
,반도체엔지니어,인턴,1,경험,1,"공부, 이후, 전공, 정보, 전과, 학기, 사람, 수업, 컴퓨터, 상태, 동기, 정치, 외교학과, 회의감, 공학과, 경험, 공학, 이전, 관련, 문과"
,백엔드개발자,신입,1,직무역량,1,"기술, 이전, 발전, 직원, 최고, 가비아, 회사, 기존, 멘토, 방법, 사용, 생각, 다양, 솔루션, 자체, 개발, 분위기, 공부, 사람, 산업"
,법무담당자,신입,1,직무역량,1,"도전, 지식, 방송, 시장, 바탕, 유료, 최초, 서비스, 과정, 상황, 해결, 경험, 다양, 활동, 대인, 관계, 구축, 법률, 적극, 국내외"
,법인영업,신입,1,성장과정,1,"상대, 활동, 커뮤니케이션, 배려, 자리, 스스로, 학업, 집중, 봉사, 파트타임, 인턴, 수행, 빵집, 제조, 기사, 재료, 발주, 포장, 과정, 담당"
,법인영업,신입,2,경험,1,"매장, 인센티브, 제도, 대리점, 매출, 상생, 점주, 전년, 대비, 본사, 직무, 침체, 동기, 부여, 기존, 확대, 혜택, 유지, 제안, 존재"
,법인영업,인턴,1,자기소개,1,"부모, 아버지, 어머니, 노력, 투자, 노동, 가치, 목욕탕, 지금, 성실, 성공, 마음, 모습, 무어, 몰입, 성장, 목표, 증권, 청년, 이상우"
,사무담당자,신입,1,경험,23,"업무, 직무, 경험, 생각, 때문, 진행, 인턴, 활동, 담당, 회사, 행사, 회계, 수행, 관리, 결과, 사원, 능력, 중요, 노력, 작업"
,사무담당자,신입,2,직무역량,10,"사람, 직무, 소통, 업무, 회사명, 고객, 활용, 생각, 국민, 다양, 역량, 수행, 안전, 분야, 능력, 방법, 사업, 법학, 지원, 노력"
,사무담당자,신입,3,성장과정,8,"활동, 경험, 도전, 생활, 업무, 성격, 사람, 대학, 지원, 모습, 중요, 책임감, 생각, 실패, 성공, 팀원, 노력, 회사, 수행, 도움"
,사무담당자,신입,4,지원동기,7,"지원, 고객, 신협, 사업, 회사명, 업무, 사람, 행정, 롯데케미칼, 진행, 서울메트로, 활용, 대학, 사회, 서비스, 입사, 관심, 할머니, 지하철, 이용"
,사무담당자,신입,5,장단점,2,"사업, 주거, 청년, 주택, 불안, 경험, 환경, 국민, 회사명, 지원, 개선, 희망, 복지, 관심, 행복, 지역, 시절, 해소, 공공, 운영"
,사무담당자,신입,6,가치관,1,"사용, 동아리, 신뢰, 활동, 지원금, 생각, 경우, 사회, 정직, 달성, 성과, 금융, 비용, 구성원, 중요, 업무, 수행, 장기, 회사명, 국민"
,사무담당자,신입,7,자기소개,1,"아르바이트, 직무, 역량, 끈기, 영업, 생활신조, 노력, 결과, 저희, 부모, 포기, 사람, 말씀, 계기, 학업, 병행, 용돈, 마련, 재테크, 자립심"
,사무담당자,인턴,1,경험,6,"직무, 학생, 업무, 행사, 학과, 학년, 동아리, 참여, 진행, 학생회, 수업, 경험, 학우, 생각, 역할, 결과, 캠페인, 대회, 생활, 노력"
,사무담당자,인턴,2,직무역량,1,"에너지, 공급, 국민, 세계, 청정, 가스공사, 중요, 업무, 발전, 구성원, 회사명, 천연가스, 편익, 증진, 집집, 과거, 현재, 미래, 근간, 자원"
,사무보조,신입,1,지원동기,1,"서비스, 우주, 멤버십, 구독, 활동, 회사명, 혜택, 관심, 기획, 콘텐츠, 수행, 업무, 효율, 프로모션, 출시, 플랫폼, 회사, 패스, 추가, 운영"
,사무보조,신입,2,직무역량,1,"업무, 광고주, 광고, 마케팅, 메인, 플랜, 상품, 운영, 성과, 기금, 신입, 상황, 과중, 해결, 관리, 효율, 기존, 예산, 매체, 의견"
,사무보조,신입,3,성장과정,1,"경험, 사람, 적극, 생활, 부모, 자세, 발전, 대학, 인생, 가르침, 무엇, 사이, 대인, 관계, 초등학교, 학급, 위원, 선출, 반장, 친구"
,사무보조,인턴,1,경험,1,"봉사, 활동, 거제시, 반디, 가입, 담당, 선생, 생각, 독거노인, 계획, 고등학교, 학년, 청소년, 단체, 이전, 의미, 누구, 도움, 필요, 뉴스"
,사운드엔지니어,신입,1,경험,1,"음악, 노래, 영상, 음원, 생각, 스토리, 차트, 콘텐츠, 영향, 최근, 예전, 안무, 시각, 요인, 만큼, 다양, 이별, 페이지, 소비, 변화"
,사회복지사,신입,1,경험,1,"퇴직, 근로자, 연금, 이해, 사업주, 업무, 직무, 바탕, 수행, 역할, 세법, 신속, 급여, 근무, 관리, 기관, 전산, 중재자, 제도, 처리"
,생산직종사자,신입,1,경험,6,"이용, 경험, 생산, 기술, 자격증, 목표, 취득, 공부, 자동차, 지식, 장비, 직무, 노력, 기계, 프레스, 수행, 풍선, 바람, 아르바이트, 안전"
,생산직종사자,신입,2,지원동기,2,"산업, 기초, 반도체, 역량, 분야, 기술력, 발휘, 회사, 국내, 검사, 석유, 화학, 업무, 도면, 실리콘, 웨이퍼, 제품, 지원, 때문, 생각"
,생산직종사자,신입,3,장단점,1,"환경, 생각, 경영, 지식, 계통, 부분, 석유, 화학, 업계, 향후, 트렌드, 선언, 롯데케미칼, 전기, 엔지니어, 설비, 진행, 운영, 전력, 계획"
,생산직종사자,신입,4,직무역량,1,"공정, 진행, 설계, 프로젝트, 요소, 진단, 모델, 파이썬, 생산, 기술, 직무, 역량, 데이터, 분석, 가지, 최종, 부착, 전극, 머신, 러닝"
,생산직종사자,신입,5,입사포부,1,"현장, 성격, 시절, 실습, 업무, 생산, 생각, 발전, 구성원, 경험, 능력, 시작, 학창, 진행, 도중, 수업, 그때, 완료, 자기, 집중"
,설계엔지니어,신입,1,직무역량,2,"진행, 개발, 체계, 업무, 방식, 생각, 기술, 사용, 코오롱, 인더스, 트리, 연구, 직무, 목표, 수행, 과정, 지식, 지원, 연구소, 운영"
,설계엔지니어,신입,2,지원동기,2,"생산, 기술, 시스템, 이론, 플랜트, 설비, 설계, 연구원, 리그, 지원, 실습, 기계, 학습, 안전, 제어, 공학도, 전문가, 생각, 기사, 취득"
,설계엔지니어,신입,3,성장과정,2,"신뢰, 목표, 포기, 라이딩, 순간, 도전, 자신, 약속, 때문, 생활, 노력, 다양, 지식, 생각, 자전거, 장거리, 업무, 아버지, 대학, 우선"
,설문·리서치,신입,1,장단점,2,"사람, 노력, 분야, 학생, 다양, 도전, 대학원, 대학교, 교수, 과정, 결과, 통계, 적극, 미래, 중요, 준비, 생각, 실천, 학과, 프로그램"
,설비엔지니어,인턴,1,경험,1,"시간, 준비, 매대, 에너지, 화력, 과정, 설비, 지식, 도면, 규격, 소통, 부족, 물건, 열역학, 강의, 랭킨, 사이클, 전기, 발전, 관심"
,설치·수리기사,신입,1,경험,2,"헌혈, 의료, 기기, 사람, 건강, 목표, 생각, 봉사, 공부, 사회, 과정, 활동, 전문가, 직무, 기사, 자격증, 준비, 처음, 시험, 정보"
,설치·수리기사,신입,2,직무역량,2,"경험, 고객, 서비스, 관심, 기업, 근무, 코리아, 반도체, 공정, 장비, 생각, 제작, 신속, 정확, 운영, 고객사, 이해, 유선, 졸업, 작품"
,설치·수리기사,신입,3,지원동기,1,"소통, 지식, 생각, 시절, 능력, 서비스, 직무, 전공, 엔지니어, 고객, 제공, 바탕, 각종, 수행, 기계, 전달, 업무, 자격증, 배관, 밸브"
,설치·수리기사,신입,4,성장과정,1,"조원, 배려, 시간, 작품, 여동생, 부모, 작업, 정리, 조장, 업체, 방문, 일정, 서로, 경진, 대회, 맞벌이, 강제, 가르침, 사고, 행동"
